session_id,customer_id,event_time,channel,device,category,campaign,ab_variant,event_type
S0000001,C00001,2025-04-02T17:00:00,organic,desktop,apparel,seo,control,visit
S0000001,C00001,2025-04-02T17:03:00,organic,desktop,apparel,seo,control,product_view
S0000001,C00001,2025-04-02T17:06:00,organic,desktop,apparel,seo,control,add_to_cart
S0000001,C00001,2025-04-02T17:09:00,organic,desktop,apparel,seo,control,checkout
S0000002,C00001,2025-04-03T11:00:00,paid_search,mobile,sports,always_on_search,control,visit
S0000002,C00001,2025-04-03T11:03:00,paid_search,mobile,sports,always_on_search,control,product_view
S0000003,C00001,2025-05-13T09:00:00,social,mobile,electronics,summer_social,control,visit
S0000003,C00001,2025-05-13T09:01:00,social,mobile,electronics,summer_social,control,product_view
S0000004,C00001,2025-05-04T21:00:00,social,mobile,apparel,summer_social,control,visit
S0000004,C00001,2025-05-04T21:01:00,social,mobile,apparel,summer_social,control,product_view
S0000005,C00001,2025-06-20T21:00:00,organic,mobile,electronics,seo,control,visit
S0000006,C00001,2025-06-16T17:00:00,paid_search,desktop,food,always_on_search,control,visit
S0000006,C00001,2025-06-16T17:03:00,paid_search,desktop,food,always_on_search,control,product_view
S0000007,C00001,2025-06-20T17:00:00,social,mobile,beauty,summer_social,control,visit
S0000007,C00001,2025-06-20T17:04:00,social,mobile,beauty,summer_social,control,product_view
S0000008,C00001,2025-07-02T12:00:00,social,desktop,food,summer_social,control,visit
S0000008,C00001,2025-07-02T12:05:00,social,desktop,food,summer_social,control,product_view
S0000008,C00001,2025-07-02T12:02:00,social,desktop,food,summer_social,control,add_to_cart
S0000009,C00001,2025-07-07T13:00:00,organic,mobile,sports,seo,control,visit
S0000009,C00001,2025-07-07T13:05:00,organic,mobile,sports,seo,control,product_view
S0000009,C00001,2025-07-07T13:10:00,organic,mobile,sports,seo,control,add_to_cart
S0000009,C00001,2025-07-07T13:03:00,organic,mobile,sports,seo,control,checkout
S0000010,C00001,2025-07-07T15:00:00,social,mobile,electronics,summer_social,control,visit
S0000010,C00001,2025-07-07T15:04:00,social,mobile,electronics,summer_social,control,product_view
S0000011,C00001,2025-07-19T11:00:00,organic,desktop,electronics,seo,control,visit
S0000011,C00001,2025-07-19T11:03:00,organic,desktop,electronics,seo,control,product_view
S0000012,C00001,2025-08-15T10:00:00,paid_search,mobile,food,always_on_search,control,visit
S0000012,C00001,2025-08-15T10:05:00,paid_search,mobile,food,always_on_search,control,product_view
S0000013,C00001,2025-08-14T17:00:00,paid_search,mobile,electronics,always_on_search,control,visit
S0000013,C00001,2025-08-14T17:03:00,paid_search,mobile,electronics,always_on_search,control,product_view
S0000014,C00001,2025-08-21T13:00:00,paid_search,mobile,sports,always_on_search,control,visit
S0000015,C00001,2025-09-17T10:00:00,organic,mobile,electronics,seo,control,visit
S0000015,C00001,2025-09-17T10:05:00,organic,mobile,electronics,seo,control,product_view
S0000016,C00001,2025-09-13T20:00:00,social,mobile,electronics,summer_social,control,visit
S0000016,C00001,2025-09-13T20:04:00,social,mobile,electronics,summer_social,control,product_view
S0000016,C00001,2025-09-13T20:08:00,social,mobile,electronics,summer_social,control,add_to_cart
S0000016,C00001,2025-09-13T20:15:00,social,mobile,electronics,summer_social,control,checkout
S0000017,C00001,2025-10-23T11:00:00,social,desktop,sports,summer_social,control,visit
S0000018,C00001,2025-11-01T18:00:00,paid_search,mobile,sports,always_on_search,control,visit
S0000019,C00001,2025-11-09T19:00:00,email,desktop,apparel,crm_lifecycle,control,visit
S0000019,C00001,2025-11-09T19:01:00,email,desktop,apparel,crm_lifecycle,control,product_view
S0000020,C00001,2025-11-15T19:00:00,affiliate,desktop,home,partner_cashback,control,visit
S0000020,C00001,2025-11-15T19:03:00,affiliate,desktop,home,partner_cashback,control,product_view
S0000020,C00001,2025-11-15T19:10:00,affiliate,desktop,home,partner_cashback,control,add_to_cart
S0000020,C00001,2025-11-15T19:09:00,affiliate,desktop,home,partner_cashback,control,checkout
