order_id,session_id,customer_id,order_date,channel,device,category,campaign,ab_variant,gross_revenue,coupon_spend,net_revenue,gross_margin,returned,base_segment
O0000001,S0000022,C00002,2025-07-24T17:00:00,paid_search,mobile,beauty,always_on_search,control,151.48,22.72,128.76,29.34,0,deal_seeker
O0000002,S0000035,C00003,2025-01-16T09:00:00,email,desktop,beauty,crm_lifecycle,control,453.17,36.25,416.92,140.92,0,steady
O0000003,S0000056,C00003,2025-10-06T15:00:00,email,mobile,electronics,crm_lifecycle,control,221.67,17.73,203.94,63.38,0,steady
O0000004,S0000061,C00004,2025-06-20T08:00:00,affiliate,mobile,beauty,partner_cashback,treatment,304.92,41.16,263.75,84.31,0,steady
O0000005,S0000083,C00005,2025-07-18T12:00:00,organic,desktop,home,seo,control,304.82,24.39,280.43,93.15,0,steady
O0000006,S0000101,C00006,2025-12-17T12:00:00,direct,desktop,electronics,brand_direct,control,164.51,18.1,146.42,40.39,0,new_or_low
O0000007,S0000131,C00009,2025-11-13T08:00:00,email,mobile,home,crm_lifecycle,treatment,263.06,48.67,214.39,54.17,0,deal_seeker
O0000008,S0000170,C00013,2025-10-10T12:00:00,affiliate,desktop,home,partner_cashback,treatment,265.41,54.41,211.0,56.19,0,deal_seeker
O0000009,S0000186,C00015,2025-08-13T09:00:00,social,mobile,apparel,summer_social,treatment,179.03,20.59,158.44,47.45,0,steady
O0000010,S0000190,C00015,2025-11-18T08:00:00,organic,mobile,food,seo,treatment,268.11,30.83,237.28,75.05,0,steady
O0000011,S0000192,C00015,2025-12-25T20:00:00,affiliate,mobile,home,partner_cashback,treatment,184.81,24.95,159.86,47.95,0,steady
O0000012,S0000212,C00017,2025-06-02T18:00:00,direct,mobile,sports,brand_direct,treatment,142.6,16.4,126.2,36.17,0,steady
O0000013,S0000244,C00019,2025-12-04T10:00:00,email,mobile,electronics,crm_lifecycle,control,214.43,17.15,197.27,61.05,0,steady
O0000014,S0000248,C00020,2025-11-08T10:00:00,paid_search,desktop,home,always_on_search,control,137.25,10.98,126.27,39.19,0,steady
O0000015,S0000257,C00021,2025-10-02T17:00:00,paid_search,desktop,apparel,always_on_search,treatment,226.82,41.96,184.86,48.61,0,deal_seeker
O0000016,S0000271,C00023,2025-02-02T19:00:00,social,mobile,electronics,summer_social,treatment,394.24,72.93,321.31,85.18,0,deal_seeker
O0000017,S0000320,C00025,2025-12-18T19:00:00,paid_search,mobile,apparel,always_on_search,control,302.46,24.2,278.26,89.39,0,steady
O0000018,S0000323,C00026,2025-01-08T09:00:00,organic,mobile,beauty,seo,control,317.08,25.37,291.71,94.1,0,steady
O0000019,S0000335,C00026,2025-07-10T12:00:00,paid_search,mobile,sports,always_on_search,control,552.53,44.2,508.33,169.92,0,steady
O0000020,S0000336,C00026,2025-07-21T17:00:00,affiliate,mobile,food,partner_cashback,control,130.04,13.0,117.04,32.96,0,steady
O0000021,S0000343,C00026,2025-10-17T18:00:00,social,mobile,home,summer_social,control,214.88,17.19,197.69,61.19,0,steady
O0000022,S0000369,C00027,2025-11-23T12:00:00,paid_search,tablet,food,always_on_search,treatment,436.42,50.19,386.23,130.18,0,steady
O0000023,S0000372,C00027,2025-11-15T22:00:00,social,mobile,home,summer_social,treatment,256.64,29.51,227.12,71.49,0,steady
O0000024,S0000395,C00030,2025-04-25T22:00:00,affiliate,desktop,electronics,partner_cashback,treatment,150.42,20.31,130.11,40.54,0,steady
O0000025,S0000469,C00037,2025-04-21T17:00:00,social,mobile,electronics,summer_social,treatment,141.89,26.25,115.64,25.54,0,deal_seeker
O0000026,S0000476,C00037,2025-07-27T21:00:00,social,mobile,electronics,summer_social,treatment,337.56,62.45,275.11,71.78,0,deal_seeker
O0000027,S0000482,C00037,2025-09-22T22:00:00,email,mobile,electronics,crm_lifecycle,treatment,200.01,37.0,163.01,39.27,1,deal_seeker
O0000028,S0000524,C00040,2025-06-19T10:00:00,email,mobile,electronics,crm_lifecycle,treatment,252.03,28.98,223.05,70.07,0,steady
O0000029,S0000556,C00042,2025-08-21T10:00:00,social,desktop,home,summer_social,control,169.26,13.54,155.71,49.5,0,steady
O0000030,S0000566,C00043,2025-05-05T18:00:00,affiliate,mobile,electronics,partner_cashback,control,345.86,34.59,311.28,100.95,0,steady
O0000031,S0000585,C00043,2025-12-03T13:00:00,organic,mobile,beauty,seo,control,220.33,17.63,202.7,62.95,0,steady
O0000032,S0000595,C00044,2025-10-07T11:00:00,paid_search,mobile,sports,always_on_search,control,241.33,36.2,205.13,51.49,0,deal_seeker
O0000033,S0000628,C00049,2025-06-05T19:00:00,affiliate,mobile,sports,partner_cashback,treatment,213.77,43.82,169.95,41.29,0,deal_seeker
O0000034,S0000667,C00051,2025-11-02T19:00:00,direct,mobile,beauty,brand_direct,control,99.52,14.93,84.59,16.53,0,deal_seeker
O0000035,S0000681,C00053,2025-06-09T22:00:00,paid_search,desktop,food,always_on_search,treatment,226.18,26.01,200.17,65.06,0,steady
O0000036,S0000684,C00053,2025-08-19T13:00:00,affiliate,mobile,electronics,partner_cashback,treatment,160.54,21.67,138.87,40.6,0,steady
O0000037,S0000710,C00055,2025-04-11T12:00:00,paid_search,mobile,home,always_on_search,control,173.45,13.88,159.57,47.85,0,steady
O0000038,S0000716,C00055,2025-08-10T17:00:00,social,mobile,electronics,summer_social,control,153.52,12.28,141.24,41.43,0,steady
O0000039,S0000723,C00056,2025-04-07T22:00:00,affiliate,desktop,electronics,partner_cashback,control,116.13,19.74,96.39,22.95,0,deal_seeker
