cohort_month,month_0,month_1,month_2,month_3,month_4,month_5,month_6,month_7,month_8,month_9,month_10,month_11
2025-01,1.0,0.3182,0.2727,0.2727,0.2879,0.2273,0.1667,0.2424,0.2273,0.1515,0.2121,0.197
2025-02,1.0,0.2857,0.2476,0.2952,0.2952,0.2476,0.219,0.2,0.181,0.1238,0.2381,0.0
2025-03,1.0,0.2767,0.239,0.2075,0.2453,0.1887,0.1887,0.1698,0.2201,0.1824,0.0,0.0
2025-04,1.0,0.1871,0.1696,0.1988,0.1754,0.1754,0.1345,0.1579,0.1696,0.0,0.0,0.0
2025-05,1.0,0.1788,0.1523,0.1523,0.1325,0.1589,0.1722,0.1325,0.0,0.0,0.0,0.0
2025-06,1.0,0.1859,0.1407,0.1508,0.1206,0.1457,0.1457,0.0,0.0,0.0,0.0,0.0
2025-07,1.0,0.1802,0.1396,0.1622,0.1577,0.1802,0.0,0.0,0.0,0.0,0.0,0.0
2025-08,1.0,0.2066,0.1362,0.2066,0.1502,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-09,1.0,0.1744,0.1641,0.1897,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-10,1.0,0.1692,0.1791,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-11,1.0,0.1559,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-12,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
