month,orders,customers,net_revenue,gross_margin,coupon_spend,return_rate,aov,gross_margin_rate
2025-01,79,66,21265.03,7483.22,2215.76,0.038,269.1776,0.3519
2025-02,159,126,40819.81,14424.65,4326.59,0.0126,256.7284,0.3534
2025-03,251,207,64602.89,22879.96,6913.55,0.0438,257.382,0.3542
2025-04,305,259,76873.97,26876.31,8373.17,0.0525,252.0458,0.3496
2025-05,325,271,84930.53,29851.9,9309.56,0.0338,261.3247,0.3515
2025-06,384,334,94559.53,32608.53,10488.66,0.0469,246.2488,0.3448
2025-07,447,392,112376.18,39404.43,12001.92,0.0582,251.4009,0.3506
2025-08,477,403,122432.25,42981.47,13547.21,0.0524,256.6714,0.3511
2025-09,468,416,119218.59,41876.89,12618.59,0.0491,254.7406,0.3513
2025-10,493,427,128361.74,44865.13,14189.34,0.0446,260.3686,0.3495
2025-11,522,475,128266.93,44472.89,14231.68,0.0536,245.7221,0.3467
2025-12,536,475,135480.36,47352.42,14904.64,0.041,252.7619,0.3495
