customer_id,recency_days,frequency,monetary,gross_margin,coupon_spend,return_rate,r_score,f_score,m_score,rfm_score,segment
C00877,2,15,5229.24,2091.29,493.46000000000004,0.0,5,5,5,15,Champions
C02239,19,10,4148.13,1668.22,385.34000000000003,0.1,5,5,5,15,Champions
C01010,10,9,3770.39,1520.57,224.22,0.1111111111111111,5,5,5,15,Champions
C02515,7,12,3601.86,1425.79,351.2,0.0,5,5,5,15,Champions
C00405,6,9,3563.49,1436.6499999999999,196.15,0.0,5,5,5,15,Champions
C02095,3,10,3346.94,1331.71,310.92,0.0,5,5,5,15,Champions
C02257,12,10,3231.11,1289.09,178.07999999999998,0.1,5,5,5,15,Champions
C00416,10,9,3176.42,1283.1,167.17,0.0,5,5,5,15,Champions
C02343,6,9,3102.69,1243.1299999999999,294.63,0.0,5,5,5,15,Champions
C02274,5,7,3086.57,1240.35,183.75,0.0,5,5,5,15,Champions
C01969,17,9,2967.64,1183.41,275.67,0.1111111111111111,5,5,5,15,Champions
C02795,9,7,2901.2799999999997,1174.54,152.71,0.14285714285714285,5,5,5,15,Champions
C00207,15,9,2894.2,1158.56,281.53,0.1111111111111111,5,5,5,15,Champions
C01885,4,7,2890.4700000000003,1161.0,159.79,0.0,5,5,5,15,Champions
C01774,21,8,2862.89,1141.4099999999999,277.4,0.0,5,5,5,15,Champions
C00277,6,7,2779.64,1114.45,146.29,0.0,5,5,5,15,Champions
C00755,7,6,2765.32,1116.42,169.3,0.0,5,5,5,15,Champions
C01767,17,8,2765.0299999999997,1097.32,159.65,0.0,5,5,5,15,Champions
C02703,3,8,2695.0099999999998,1076.91,258.35,0.0,5,5,5,15,Champions
C01144,16,7,2688.14,1082.03,249.72,0.14285714285714285,5,5,5,15,Champions
C00271,5,9,2670.07,1067.43,248.03,0.0,5,5,5,15,Champions
C03006,16,9,2662.47,1052.24,263.93,0.0,5,5,5,15,Champions
C01194,20,7,2595.52,1043.12,241.11,0.0,5,5,5,15,Champions
C01342,21,8,2573.01,1022.6700000000001,261.15,0.0,5,5,5,15,Champions
C02547,9,8,2563.0,1024.46,142.51,0.0,5,5,5,15,Champions
C01436,3,8,2556.02,1018.53,252.87,0.125,5,5,5,15,Champions
C00815,22,8,2521.87,998.17,154.41,0.0,5,5,5,15,Champions
C01228,19,7,2477.18,990.42,130.38,0.2857142857142857,5,5,5,15,Champions
C01720,21,7,2449.42,975.76,136.79999999999998,0.0,5,5,5,15,Champions
C01923,10,7,2293.9700000000003,910.46,127.3,0.0,5,5,5,15,Champions
C02129,14,8,2278.65,905.0300000000001,216.64,0.0,5,5,5,15,Champions
C00679,22,7,2277.05,909.36,126.32,0.2857142857142857,5,5,5,15,Champions
C01556,6,8,2254.46,885.89,217.19,0.0,5,5,5,15,Champions
C01992,1,5,2164.8199999999997,878.23,201.1,0.2,5,5,5,15,Champions
C01122,15,5,2155.62,874.36,200.24,0.0,5,5,5,15,Champions
C03378,1,5,2139.64,861.64,130.83,0.0,5,5,5,15,Champions
C01404,9,7,2125.9,839.8699999999999,119.09,0.14285714285714285,5,5,5,15,Champions
C02103,23,7,2105.11,831.14,208.14,0.0,5,5,5,15,Champions
C00680,1,6,2097.67,836.02,194.87,0.0,5,5,5,15,Champions
C03244,2,5,2089.96,837.79,194.14,0.0,5,5,5,15,Champions
C01570,7,6,2064.48,825.0799999999999,191.78,0.0,5,5,5,15,Champions
C01438,2,5,2021.34,817.96,187.76999999999998,0.0,5,5,5,15,Champions
C03242,17,6,2004.74,806.0,105.5,0.0,5,5,5,15,Champions
C03536,13,6,1980.9499999999998,784.0,184.03,0.0,5,5,5,15,Champions
C01731,10,5,1970.24,796.5,194.56,0.0,5,5,5,15,Champions
C01248,9,5,1953.46,789.45,102.81,0.0,5,5,5,15,Champions
C01443,11,6,1923.62,765.9200000000001,101.24000000000001,0.0,5,5,5,15,Champions
C02260,14,6,1920.16,764.46,193.46,0.0,5,5,5,15,Champions
C03013,9,5,1887.65,761.8,107.78,0.0,5,5,5,15,Champions
C03362,19,6,1852.8000000000002,745.18,97.52,0.0,5,5,5,15,Champions
C00836,6,5,1843.53,743.29,171.26,0.0,5,5,5,15,Champions
C02058,13,6,1806.3500000000001,716.67,95.08,0.0,5,5,5,15,Champions
C02323,7,5,1790.3700000000001,717.96,102.49000000000001,0.0,5,5,5,15,Champions
C03445,1,6,1748.8899999999999,695.53,92.03999999999999,0.0,5,5,5,15,Champions
C02225,8,5,1746.33,699.46,170.75,0.0,5,5,5,15,Champions
C00756,22,5,1727.72,688.6400000000001,95.26,0.0,5,5,5,15,Champions
C01078,10,4,1674.77,677.41,88.14,0.0,5,5,5,15,Champions
C02168,5,5,1653.65,654.53,87.03,0.0,5,5,5,15,Champions
C01578,1,5,1651.45,656.62,163.52,0.2,5,5,5,15,Champions
C03208,20,5,1648.15,655.21,153.1,0.0,5,5,5,15,Champions
C02579,4,6,1635.74,648.01,86.08,0.0,5,5,5,15,Champions
C01037,13,6,1618.35,637.71,85.17,0.0,5,5,5,15,Champions
C02880,6,4,1594.86,640.8399999999999,148.15,0.0,5,5,5,15,Champions
C02457,22,4,1585.37,633.86,147.27,0.0,5,5,5,15,Champions
C03443,14,5,1551.38,614.58,90.53999999999999,0.0,5,5,5,15,Champions
C00582,1,5,1547.59,615.99,143.76,0.0,5,5,5,15,Champions
C03238,8,4,1487.12,595.5799999999999,149.57999999999998,0.0,5,5,5,15,Champions
C02324,11,6,1484.32,578.4,137.89,0.0,5,5,5,15,Champions
C01027,14,6,1465.1999999999998,385.90999999999997,258.56,0.0,5,5,5,15,Champions
C01586,14,4,1453.2,581.35,76.48,0.0,5,5,5,15,Champions
C00487,5,5,1399.53,556.81,73.66,0.0,5,5,5,15,Champions
C01876,8,4,1394.47,556.68,129.54,0.0,5,5,5,15,Champions
C00676,1,5,1389.53,543.6,129.07999999999998,0.0,5,5,5,15,Champions
C02100,6,4,1386.2,553.21,72.94999999999999,0.0,5,5,5,15,Champions
C01069,2,5,1364.29,539.01,126.73,0.0,5,5,5,15,Champions
C01598,18,5,1318.1599999999999,516.62,69.37,0.0,5,5,5,15,Champions
C00303,4,4,1299.33,519.72,68.39,0.0,5,5,5,15,Champions
C01076,10,4,1283.79,507.19000000000005,119.25,0.0,5,5,5,15,Champions
C02521,18,3,1256.16,503.59000000000003,82.93,0.3333333333333333,5,5,5,15,Champions
C00372,23,4,1243.25,490.17,72.09,0.0,5,5,5,15,Champions
C01931,19,4,1237.34,493.68,72.92,0.0,5,5,5,15,Champions
C03078,23,3,1236.81,498.45,124.69999999999999,0.0,5,5,5,15,Champions
C01209,10,4,1220.75,398.25,106.15,0.0,5,5,5,15,Champions
C00460,6,5,1203.72,474.56000000000006,111.83,0.2,5,5,5,15,Champions
C03261,19,4,1200.68,475.29,120.37,0.0,5,5,5,15,Champions
C01084,10,4,1192.51,468.85999999999996,67.91,0.25,5,5,5,15,Champions
C00835,23,5,1162.82,454.39,108.00999999999999,0.0,5,5,5,15,Champions
C01785,21,4,1147.22,452.83,106.58,0.0,5,5,5,15,Champions
C01751,6,4,1138.41,452.13,105.75,0.0,5,5,5,15,Champions
C02705,17,3,1116.22,444.81999999999994,58.75,0.0,5,5,5,15,Champions
C00500,7,4,1115.49,364.41999999999996,101.9,0.0,5,5,5,15,Champions
C00176,17,4,1109.17,436.84000000000003,103.04,0.0,5,5,5,15,Champions
C02370,14,3,1100.85,367.3,143.05,0.0,5,5,5,15,Champions
C03101,5,5,1100.03,282.0,261.11,0.0,5,5,5,15,Champions
C00520,10,4,1090.01,425.8,107.82000000000001,0.0,5,5,5,15,Champions
